business,storeId,registerId,zreadingId,startTrxNumber,startORNumber,endTrxNumber,endORNumber
triboacafeinc,652e1c3742fefc0007a98a61,652e1c3742fefc0007a98a63,671fe64529daf80734315031,14512,14512,14569,14569
triboacafeinc,652e1c3742fefc0007a98a61,652e1c3742fefc0007a98a63,671fe64529daf80734315031,14513,14513,14569,14569
menyakokoro,64e827bf2d7db10007b364d5,64e827bf2d7db10007b364d7,671fe64929daf807343154ee,21507,21427,21576,21496
menyakokoro,64e827bf2d7db10007b364d5,64e827bf2d7db10007b364d7,671fe64929daf807343154ee,21510,21430,21576,21496
rabbitroom,63cf8671f2d46900079efb58,63cf8671f2d46900079efb5a,671fe64d29daf80734315996,3309,3309,3311,3311
rabbitroom,63cf8671f2d46900079efb58,63cf8671f2d46900079efb5a,671fe64d29daf80734315996,3309,3309,3310,3310
thekitchenpartyinc,63bbbe4200f04b0006943b79,63bbbe4200f04b0006943b7c,671fe65529daf80734316286,15988,15987,16026,16025
thekitchenpartyinc,63bbbe4200f04b0006943b79,63bbbe4200f04b0006943b7c,671fe65529daf80734316286,15997,15996,16026,16025
thekitchenpartyinc,63bbbe4200f04b0006943b79,63bbbe4200f04b0006943b7c,671fe65529daf807343162a9,16049,16048,16056,16055
thekitchenpartyinc,63bbbe4200f04b0006943b79,63bbbe4200f04b0006943b7c,671fe65529daf807343162a9,16051,16050,16056,16055
dapoattisa,64c083450b365d00077158da,64d1ac3fd394840007ff1bdf,671fe65c29daf807343169a8,13952,13952,13994,13994
dapoattisa,64c083450b365d00077158da,64d1ac3fd394840007ff1bdf,671fe65c29daf807343169a8,13961,13961,13994,13994
dapoattisa,64c083450b365d00077158da,64d1ac3fd394840007ff1bdf,671fe65c29daf807343169d8,14246,14246,14295,14295
dapoattisa,64c083450b365d00077158da,64d1ac3fd394840007ff1bdf,671fe65c29daf807343169d8,14253,14253,14295,14295
bibio,645dbc7d2ebb5b0008e07fdb,645dbc7d2ebb5b0008e07fdf,671fe66329daf80734316fd5,3801,3801,3806,3806
bibio,645dbc7d2ebb5b0008e07fdb,645dbc7d2ebb5b0008e07fdf,671fe66329daf80734316fd5,3803,3803,3806,3806
sunkissedcafe,63b53618fa5ce600074ef515,63b53618fa5ce600074ef517,671fe67529daf80734317eea,36491,36486,36554,36549
sunkissedcafe,63b53618fa5ce600074ef515,63b53618fa5ce600074ef517,671fe67529daf80734317eea,36506,36501,36554,36549
brittanyhotel,64f6e96124e5e000077e7c41,64f6e9527bd2fa00079307b1,671fe67829daf80734318109,5853,5853,5872,5872
brittanyhotel,64f6e96124e5e000077e7c41,64f6e9527bd2fa00079307b1,671fe67829daf80734318109,5859,5859,5872,5872
alqaysarestaurant,65fcf28607c1a0000670d766,660f631c8397df0007af1b10,671fe67a29daf8073431831d,8123,8122,8277,8276
alqaysarestaurant,65fcf28607c1a0000670d766,660f631c8397df0007af1b10,671fe67a29daf8073431831d,8131,8130,8277,8276
alqaysarestaurant,65fcf28607c1a0000670d766,660f631c8397df0007af1b10,671fe67a29daf8073431832f,8278,8277,8471,8470
alqaysarestaurant,65fcf28607c1a0000670d766,660f631c8397df0007af1b10,671fe67a29daf8073431832f,8279,8278,8471,8470
mmfssi,65e92615cff59c000872eb5f,65e9264651d6ea00074d4c95,671fe67d29daf8073431855c,8922,8913,8996,8987
mmfssi,65e92615cff59c000872eb5f,65e9264651d6ea00074d4c95,671fe67d29daf8073431855c,8923,8914,8996,8987
theweekend,611de70671e8d000072a38de,6141c3aebead9d0006603c03,671fe68129daf80734318883,11823,11823,11843,11843
theweekend,611de70671e8d000072a38de,6141c3aebead9d0006603c03,671fe68129daf80734318883,11824,11824,11843,11843
trademarkcebu,61ee23573db17a00066c88d7,622ee2b4d73a9300086c91d5,671fe68229daf80734318a95,40639,40635,40673,40669
trademarkcebu,61ee23573db17a00066c88d7,622ee2b4d73a9300086c91d5,671fe68229daf80734318a95,40641,40637,40673,40669
fbebrewingpointinc,65e88c21d3e33a000616693c,65e97e76f331980007c9987c,671fe68529daf80734318e98,11869,11869,11917,11917
fbebrewingpointinc,65e88c21d3e33a000616693c,65e97e76f331980007c9987c,671fe68529daf80734318e98,11870,11870,11917,11917
eraya,66fb950cbed9ca00074c5d04,66fb950cbed9ca00074c5d06,671fe68729daf807343190e1,16,16,28,28
eraya,66fb950cbed9ca00074c5d04,66fb950cbed9ca00074c5d06,671fe68729daf807343190e1,17,17,28,28
