business,registerId,transactionId,receiptNumber,preOrderId,ErrorType,ShiftId1,ShiftId2
cozecafe,665404231981ca000791cbda,661c339c-80ff-4715-8d1a-dd1f003a3bf6,00000000202,,,,
cozecafe,665404231981ca000791cbda,0e535204-0f59-4fb5-ac8a-f79e9112dc2a,00000000229,,,,
cozecafe,665404231981ca000791cbda,1e76c596-6f12-4108-9b98-ce27f932e1c4,00000000287,,,,
cozecafe,665404231981ca000791cbda,01c41cb1-fc50-4897-bd78-2f627595ea0d,00000000286,,,,
cozecafe,665404231981ca000791cbda,7d5ddaa9-ef3f-48fb-b6eb-b7bc0f3b2737,00000000288,,,,
drwinebgccorp,62a2fc88246bfe0009b14d9e,04980ce9-2433-400c-96f7-1ace1e2b863d,00000156970,,,,
drwinebgccorp,62a2fc88246bfe0009b14d9e,6911924c-38bf-4cdb-8974-7d83f01b237f,00000156958,,,,
drwinebgccorp,62a2fc88246bfe0009b14d9e,707f2924-41da-49b2-b5c2-7cfb760edad6,00000156966,,,,
drwinebgccorp,62a2fc88246bfe0009b14d9e,7a52b331-27fc-48c8-b7b5-0e80ea5c26f1,00000157526,,,,
drwinebgccorp,62a2fc88246bfe0009b14d9e,b42b99c1-a2ca-4122-9673-b363d560165d,00000157221,,,,
drwinebgccorp,62a2fc88246bfe0009b14d9e,1900cc07-f44c-4de6-b80c-c21ed22621cc,00000157280,,,,
drwinebgccorp,62a2fc88246bfe0009b14d9e,a3d47e99-3c99-4ce9-a91e-85fadc8de643,00000157564,,,,
drwinebgccorp,62a2fc88246bfe0009b14d9e,b620ed93-10db-4bf5-9546-5c03f5b5457d,00000157565,,,,
drwinebgccorp,62a2fc88246bfe0009b14d9e,72c08be5-c071-4ddb-b522-aaf83d3e1d5a,00000158187,,,,
drwinebgccorp,62a2fc88246bfe0009b14d9e,c7c2d06f-e42c-404b-9720-c32322c1f771,00000158175,,,,
krapow2020,62d67bb669a7e600082e45a8,7c1f863f-0f9e-4168-b219-ee2c9dd3b1ec,00100043148,,,,
krapow2020,62d67bb669a7e600082e45a8,aa367a1f-75b3-42f8-b421-5966b67e8d99,00100043152,,,,
krapow2020,62d67bb669a7e600082e45a8,c2ab1d5e-d963-4051-868e-9cc3f690da6f,00100043151,,,,
krapow2020,62d67bb669a7e600082e45a8,d7c3946a-b53a-42a9-a75b-5148eda2c43a,00100043149,,,,
krapow2020,62d67bb669a7e600082e45a8,1c9857c2-e719-4cea-a2e5-122590429536,00100043150,,,,
krapow2020,62d67bb669a7e600082e45a8,4bf45ad0-a454-4c33-9b7a-14f5af9a140c,00100043206,,,,
krapow2020,62d67bb669a7e600082e45a8,fee615dd-1ef1-4a5c-a724-324fa7586a4d,00100043205,,,,
kimpana,639fcc938406540008fafc8d,24e4e7bb-1c22-4841-8109-86113d3f2e5e,00100006983,,,,
abrahambohol,651a55cd0887a30007208aec,2a43cefd-abf9-4a6e-824e-15b381b22489,00000006177,,,,
locavore-greenhills,65e66c376863dc0007e268d0,bb8baf72-e6e1-4dae-a9fe-22fe22d8ff64,00000007924,,,,
locavore-greenhills,65e66c376863dc0007e268d0,ea3bcc2d-83fc-4083-91f2-b1d5f993fa11,00000007925,,,,
lingnamcaloocan,656d606ee1d7560007299b0e,acb700a4-08a6-4b2b-8544-e8f9909cd6dd,00100016368,,,,
lingnamcaloocan,656d606ee1d7560007299b0e,c0518817-bb6e-4567-9437-4e9e5d22212f,00100016369,,,,
lingnamcaloocan,656d606ee1d7560007299b0e,ccc15f2f-e41a-4bae-9872-3c7379c16a3d,00100016415,,,,
lingnamcaloocan,656d606ee1d7560007299b0e,ba624c98-072b-4247-8867-f94b841a1280,00100016417,,,,
lingnamcaloocan,656d606ee1d7560007299b0e,32e2e4fd-e585-4a96-ba7a-21e5b6192c3c,00100016416,,,,
legaleatiesfoodinc,64fac70f96fa380007dc4a92,91b2880b-a242-4d9c-8c0a-152662dba318,00000030969,,,,
lerevepatisserie,5e4b6dc364518c1707ee44d5,e2b5d814-4f18-4ddc-9b30-5d4d42d3384e,00000012001,,,,
lerevepatisserie,5e4b6dc364518c1707ee44d5,5dc5c656-1ac0-44d3-bded-8338833ed50d,00000012013,,,,
lerevepatisserie,5e4b6dc364518c1707ee44d5,73c048e1-224e-41f8-8571-a036a40c999a,00000012012,,,,
juhacafe,66c6def886176d0007ab9c8d,8225bfba-41b4-4c7d-a4fc-8d183984e8f3,00000000062,,,,
anikaislandresort,650126a47124ed0007684f30,1acd5726-02b9-41ed-a444-c46f3d7edfe0,00000002460,,,,
anikaislandresort,650126a47124ed0007684f30,0f6eea69-cbba-434a-ab0f-21699786190a,00000002461,,,,
anikaislandresort,650126a47124ed0007684f30,0086f605-b5cc-458b-bfe0-a9cbccbac1aa,00000002483,,,,
anikaislandresort,650126a47124ed0007684f30,5275f7ff-8769-42ad-bcf3-c67fbbff9a26,00000002484,,,,
anikaislandresort,650126a47124ed0007684f30,5066d405-f424-4918-bd1a-05eb6413d38f,00000002485,,,,
wellbainc,65814e19387a280007830289,d252ed8e-251d-4d7c-9896-e3da4b00eaa5,00000000038,,,,
wellbainc,65814e19387a280007830289,544b241a-d9bf-47c9-b6ab-ce735ce2041c,00000000037,,,,
wellbainc,65814e19387a280007830289,5d34064d-6986-4164-84d1-4f8144c3f0ee,00000000066,,,,
wellbainc,65814e19387a280007830289,a3be30b2-5476-42bb-9aea-9540a1c04126,00000000067,,,,
wellbainc,65814e19387a280007830289,d008a0bf-195f-4882-91f1-36ee4be6e33e,00000000068,,,,
wellbainc,65814e19387a280007830289,d82754de-e02b-4204-8d24-0b7314ab563e,00000000069,,,,
