yarn run v1.22.22
$ node src PS-5918
[MONGODB CONNECTED]
2024-11-06T06:54:25.679Z Start
zreadingId,startTrxNumber,startORNumber,endTrxNumber,endORNumber
66f8b4d7bed9ca00070036e3,00000000006,00000000006,00000000025,00000000025
66fb582ec41ee900078ef8b9,00000000027,00000000027,00000000039,00000000039
670a51959dd38700073ee1ff,00200004180,00200004180,00200004244,00200004244
66f49bac6566d100073dce25,00200000498,00200000498,00200000512,00200000512
66f4ea7d23846000073294f8,00100013947,00100013947,00100013951,00100013951
66f8b711ff96eb0007ab490f,00000003143,00000003137,00000003159,00000003153
66f6c4a2dec2a60007ba7f1a,00000006973,00000006973,00000006992,00000006992
66f45ffdeca08000069a8042,01100081196,01100081182,01100081280,01100081266
67068a0325bc5a000838269c,00500011171,00500011170,00500011228,00500011227
done
Done in 0.94s.
