business,receiptNumber,storeId,registerId,modifiedTime,createdTime,isCancelled,transactionId,preOrderId
cozecafe,00000000202,665404231981ca000791cbd8,665404231981ca000791cbda,2024-09-25T15:05:16.583Z,2024-09-25T12:47:39.913Z,false,661c339c-80ff-4715-8d1a-dd1f003a3bf6,
cozecafe,00000000229,665404231981ca000791cbd8,665404231981ca000791cbda,2024-09-26T14:11:18.154Z,2024-09-26T13:14:15.021Z,false,0e535204-0f59-4fb5-ac8a-f79e9112dc2a,
cozecafe,00000000287,665404231981ca000791cbd8,665404231981ca000791cbda,2024-09-28T15:18:03.492Z,2024-09-28T13:10:02.054Z,false,1e76c596-6f12-4108-9b98-ce27f932e1c4,
cozecafe,00000000286,665404231981ca000791cbd8,665404231981ca000791cbda,2024-09-28T15:05:27.162Z,2024-09-28T13:23:59.756Z,false,01c41cb1-fc50-4897-bd78-2f627595ea0d,
cozecafe,00000000288,665404231981ca000791cbd8,665404231981ca000791cbda,2024-09-28T15:23:08.335Z,2024-09-28T14:17:45.873Z,false,7d5ddaa9-ef3f-48fb-b6eb-b7bc0f3b2737,
drwinebgccorp,00000156970,62a2fc88246bfe0009b14d9d,62a2fc88246bfe0009b14d9e,2024-09-25T19:24:40.551Z,2024-09-21T13:09:59.377Z,false,04980ce9-2433-400c-96f7-1ace1e2b863d,
drwinebgccorp,00000156958,62a2fc88246bfe0009b14d9d,62a2fc88246bfe0009b14d9e,2024-09-25T18:51:41.473Z,2024-09-22T11:58:06.584Z,false,6911924c-38bf-4cdb-8974-7d83f01b237f,
drwinebgccorp,00000156966,62a2fc88246bfe0009b14d9d,62a2fc88246bfe0009b14d9e,2024-09-25T19:22:20.252Z,2024-09-23T06:16:13.273Z,false,707f2924-41da-49b2-b5c2-7cfb760edad6,
drwinebgccorp,00000157526,62a2fc88246bfe0009b14d9d,62a2fc88246bfe0009b14d9e,2024-09-27T18:35:28.255Z,2024-09-25T06:49:36.768Z,false,7a52b331-27fc-48c8-b7b5-0e80ea5c26f1,
drwinebgccorp,00000157221,62a2fc88246bfe0009b14d9d,62a2fc88246bfe0009b14d9e,2024-09-27T05:07:09.375Z,2024-09-25T10:14:58.421Z,false,b42b99c1-a2ca-4122-9673-b363d560165d,
drwinebgccorp,00000157280,62a2fc88246bfe0009b14d9d,62a2fc88246bfe0009b14d9e,2024-09-27T14:08:23.685Z,2024-09-25T11:19:30.871Z,false,1900cc07-f44c-4de6-b80c-c21ed22621cc,
drwinebgccorp,00000157564,62a2fc88246bfe0009b14d9d,62a2fc88246bfe0009b14d9e,2024-09-27T21:10:31.925Z,2024-09-27T15:30:28.412Z,false,a3d47e99-3c99-4ce9-a91e-85fadc8de643,
