"business","registerid","storeid"
dianhuosteamboat,"601a180ba6f5f000074c9ed9","601a180ba6f5f000074c9ed7"
yeahcafe,"6141bcddbead9d00065effb2","6141bcddbead9d00065effb1"
kogikoreanbbqrestaurant,"6362180b538f3e0008d8e8c3","6362180b538f3e0008d8e8c1"
vitaminfactoryjuicesmoothies,"65f262ce460db181f6744b80","660cf4e4f973590008e868f7"
lutgardos,"651fa7125b38a70007c8f70d","651fa7125b38a70007c8f70b"
vaporvillage,"635c0d40edc7870007fc57f3","63560eab613a54000895a411"
hakguangfoong,"64336ae3ce317d0006b7fedb","64336ae3ce317d0006b7fed9"
sienskitchen,"66012ba0d60147000761a175","66012ba0d60147000761a173"
threemonkeyscafe,"66e8daa766eac20007d0d475","66e8daa766eac20007d0d473"
odenhousejapaneserestaurant,"64000afd690051000737abc6","64000afd690051000737abc4"
thebrewmancoffee,"64c3266207f67d000789d85c","64c3266207f67d000789d85a"
nomadkopifi,"663c7e0db9d1ed000631a081","663c7d9e5a8d54000794af8b"
layer28coffee,"65410a41ae467a00076ba8dc","65410a41ae467a00076ba8da"
ginopizza,"64756f0f57bd0a0007c204ac","64756f0f57bd0a0007c204a6"
makanheritage,"604da0b5fe0d4f00061f42d4","604b102c3606eb00062889d6"
gameonboardgamecafe,"654af6ed5b886400071a4161","654af6ed5b886400071a415f"
foody,"64670cac9dd8300007cf3d8d","645a115f4daa460009585cd7"
grain,"5f119ba55012c800061c549b","5f119ba55012c800061c549a"
baanchiang,"5fc90dd577a20900068f0316","5fc90dd577a20900068f0315"
d2cboardgames,"652e5923fe6b880006c5babc","652e5923fe6b880006c5baba"
pumpkinarttown,"5d5e46c94717e1064778e275","5d5e468790caf10678bd43a1"
visatrading,"61ef9ef608c2350007f1ec22","61ef9ef608c2350007f1ec21"
nomms,"65d46124e4f60700077ee7fe","65d45fdb5e327c00079f2c97"
sgems,"6662d9975d0af10007fecc48","6662d9975d0af10007fecc46"
jpveenussmusicalbistro,"5f4e163b3689450006ac7030","5f4e163b3689450006ac702f"
storehubnaew,"655c3a04c8cc0c0007ebaf44","63e9e51547e82c00073b087b"
toj,"5db94461a7ab6b7094d132fa","5db94424a7e8e71f263f876e"
chicholic,"63eda857eac0980007b65e5a","63eda857eac0980007b65e58"
yikvapeandgadget,"62ea143c16081e0009a74746","62ea143c16081e0009a74745"
gpotrestaurant,"6654739e03b087000751f278","6654739e03b087000751f276"
waksshake,"64da14434c8556000854347f","64cdc8a1ab9f3f0007258970"
littlechef1988,"63036b7e1190c90007e4f6d8","63036b7e1190c90007e4f6d6"
toriiteppanyaki,"628b371ab2358b000673ac45","628b01ceb2358b0006684494"
coffeeorigins,"5d5ca7609d7b6556ab2200a1","5d5ca7609d7b6556ab2200a0"
lingnamcaloocan,"656d606ee1d7560007299b0e","655abd8f4fa62d000705af88"
maikebun,"6358f7aa51b1cc00076fb11a","6358f7aa51b1cc00076fb0ea"
rsjfoodgroupcorp,"66b03f64402b420007ff8e4f","66b03f64402b420007ff8e4d"
cleavershed,"667b83051c6f370007f9c694","667b83051c6f370007f9c692"
bartolo,"65091cf9ff39c10007006578","65091cf9ff39c10007006576"
mumucafe,"65c0aa7d08285f000777ceed","65c0aa7d08285f000777cee7"
liserracoffee,"650018eba01b57000792b506","650018eba01b57000792b504"
